Source Chinese,Target English,Category,Examples,Pinyin
發心,"Vow, set a goal, make a commitment",Terms,,"Fā xīn, fa xin"
發愿,"Setting a goal, making a wish, making a commitment",Terms,,
,,Terms,,
一步樁,One-Step Standing,Terms,,
零步樁,No-Step Standing,Terms,,
光團,"Ring of Light, Group",Terms,,
光鎝,(Light) Guild,Terms,,
光明因子,luminous factors,Terms,,
請法,Sincerely request the energy field of compassionate light,Terms,,
法體,consolidated light body,Terms,,
光體,light body,Terms,,
功體,spiritual energy structure,Terms,,
能量體,energy body,Terms,,
靈魂體,soul body,Terms,,
靈性生命結構體,"structure or body of spiritual life, spiritual body/structure",Terms,,
法慈場,energy field (of universal love-light),Terms, we get a copy from the master mold, similar to electric field
靈根中線,Spiritually Rooted Center Line,Terms,,
求大愛光慈悲,s.b. request the compassion of universal love light,Terms, talked w/ Laoshi,
請大愛光慈悲這個生命,We request the blessings of universal love light on this being,Terms, talked w/ Laoshi,
一整體,"""oneness""",Terms,,
人形中線,Human-shaped central lines, Anthromorphic central lines,,
記恩、忘怨、常感謝,"Remembering Kindness, Forgetting Anger, and Often Appreciating",Terms,,
清理慈場,Cleaning the compassion field,Terms,,
認知,Acknowledge,Common phrases,,
覺察,"Realize, recognize, become aware",Common phrases,,
觀照,Observe,Common phrases,,
轉化,"Change, transform",Common phrases,,
心存善念,(with a) pure heart and good intentions,Common phrases,,
變化氣質,Change/transform our temperament/nature/mannerisms,Common phrases,,
感動上天,"to (emotionally) move the heavens,",Common phrases,,
精進,1. Advanced 2. Dedicated,Common phrases,,
實證,"prove, manifest, actualize",Common phrases,,
相應,Resonate,Common phrases,,
感應,"response, feelings, sensations",Common phrases,,
轉軌,"Change tracks, change the way s.b. life is going, change s.b. life direction",Common phrases,,
交代過了,already addressed/explained/gone over s.t.,Common phrases,,
裡應外合,resonate within and harmonize without, to act together,,
修心性,cultivating one's nature/disposition,Common phrases,,
施受雙方同受益,one receives and both benefit,Common phrases,,
請法,Sincerely request compassionate light energy field,Common phrases,,
平均著力,Exert effort evenly,Common phrases,,
光明希望,Bright future,Common phrases,,
慣性,"habitual pattern, wont, disposition, inertia",Terms,,
進德修業,increase virtue and cultivate positivity and good karma,,Laoshi,
發自內心,from the bottom of [s.b.] heart,Common phrases,,
人事境,"1. everyday life, human affairs, the ways of the world, the outside world 2. encounter, situation, circumstance, boundary",Common phrases,,
復禮,observe proprieties,Common phrases,,
通天貫地,connects heaven and earth,Common phrases,,
與生命為敵,make enemies with others, designate others as antagonists,,
同心攜手,"joining hearts, joining hands",Common phrases,,
和您同心，與爾攜手,"as our hearts are joined, so, thus, are our hands",Common phrases,,
（進入）狀態,(come into) the state of being filled with universal love-light, the state,,
開步,step out,Common phrases,,
一份道情,a heartfelt commitment to [this] path/way,Common phrases,,
靈格提昇，護持整個地球進化,"Advancing the Spiritual Level, Supporting the Transformation of the Earth",Common phrases,,
心量,Capacity of [the] heart,Common phrases,,
主軸,"life axis, axis of life",Common phrases,,
「順」,1. flow 2. to be cooperative,"Allegories, Adages & Titles",,
發揮生命,"express [s.b.] being, realize purpose of life",Common phrases,,
修成正果,awakened beings who have achieved enlightenment,Common phrases,,
惡緣,bad karma,Common phrases,,
求其放心,ease the mind,Common phrases,,
不二法門,the only way,Common phrases,,
光明道路,luminous path,Common phrases,,
經典,"sutra, book",Common phrases,,
心念,intention,Common phrases,,
[去]成就,"1. make the best of it 2. accomplish, achieve",Common phrases,,
溫柔、和緩,gentle and slow,Common phrases,,
光足、心開、體安泰,With ample light the heart opens and the body is at peace!,法語Mantras,,
"靈心光團常溫暖, 愛和慈悲在我心, 晶瑩惕透鑽石心, 了悟明白常自在",My spiritual heart is always warm, Love and compassion are within, With lucidity I am at ease,Aphorisms
無限光、無限愛、無限祝福在其中,"Infinite light, infinite love, infinite blessings within",法語Mantras, 中英對照- 發行CD-立如松心法-2003.07.29-回歸生命的主軸-和氣百日築基班,
致中和，天地位焉，萬物育焉,"Be in harmony at the center, heaven and earth are in their rightful place, then all things will grow and prosper",法語Mantras, 中英對照- 發行CD-立如松心法-2003.07.29-回歸生命的主軸-和氣百日築基班,
我要做大愛發光體,I want to be a radiant being of universal love light,法語Mantras,,
記恩、忘怨、常感謝,"Remembering kindness, forgetting anger, often giving thanks.","Allegories, Adages & Titles",,
我是一團光，來自虛空中，降生到地球，要做傳光人,"I am pure light, born of the void, descent upon the earth to become a Messenger (of Light.)","Allegories, Adages & Titles",,"Wǒ shì yī tuán guāng, láizì xūkōng zhōng, jiàngshēng dào dìqiú, yào zuò chuán guāng rén; wo shi yi tuan guang, lai zi xu kong zhong, jiang sheng dao di qiu, yao zuo chuan guang ren"
立定腳步踏實地,Standing affixed and down-to-earth,法語Mantras,,
靈母護靈子,The spiritual mother protects/supports the child,法語Mantras,,
身鬆、心空、靈歸中,"Relax the body, clear the mind, center the spirit",法語Mantras,,
療癒身心、撫慰靈魂、啟發靈性,"heal the heart and body, soothe the soul, and enlighten the spirit",法語Mantras,,
內提外鬆,Lift Within and Relax Without,"Allegories, Adages & Titles",,
一切為我而設,all in place is for my sake,法語Mantras,,
認知、觀照、覺察、轉換,"Acceptance, Observation, Realization, Transformation",法語Mantras,,
用光祝福，空間回收，外即是內，空間對置，融為一體,"Bless with light, reclaim space; within and without reflect each other, merge into one.","Allegories, Adages & Titles", need to change,
天大地大，父恩母慈,"The heavens and earth are boundless, thus is the kindness of parents.",法語Mantras,,
大愛祝福心念,"With loving respect, gratitude and confidence let us wish every person in our lives a healthy body, an enlightened mind, and total fulfillment in universal love. Now, let us expand this consciousness to include every person in the world,  every being in the universe. Let our unified love make this wonderful world even better. Let us all immerse ourselves in the joyful embrace of universal love.",法語Mantras,,
弟子願意誠心修心性、改毛病、去脾氣，持恆精進勤煉，求上天慈悲垂降光慈場，賜予弟子智慧、力量、藍圖，玉成弟子為天地間的傳光人，傳光給每一個需要的生命，圓滿生命，進化地球。,"This disciple is willing to, with complete sincerity, cultivate nature, overcome temper, and consistently practice with dedication. I humbly request the blessings of the universe, bequeath upon this disciple wisdom, strength, and a blueprint.  Aid this disciple in becoming a Conveyor of Light of Heaven and Earth, transmitting light to every living being in need, fulfilling lives, and transforming the earth. (3s)",Prayers,,
求大愛光慈悲，(3秒)玉成弟子成為(4秒)天地間的傳光人。(4秒),"We request the blessings of universal love light, (3s) Aide this disciple in becoming (4s) a Messengers of Light upon this earth",Prayers,,
弟子愿──誠心修心性(3秒)、改毛病、去脾氣、化慣性，(4秒)與伙伴結盟融和成為光團，(6秒)擴大光慈場，(2秒)讓整個地球含光量升高。(15秒),"I am willing -- to sincerely cultivate my nature (3s), change my habits, overcome my temper, and dissolve wont (4s) and warmly coalesce with my companions to form a ring of light. (6s) Expand the compassionate light energy field (2s) and increase the light-holding capacity of the entire world (15s)",Prayers,,"Dìzǐ yuàn ──chéngxīn xiū xīnxìng (3 miǎo), gǎi máobìng, qù píqì, huà guànxìng,(4 miǎo) yǔ huǒbàn jiéméng rónghé chéngwéi guāng tuán,(6 miǎo) kuòdà guāng cí chǎng,(2 miǎo) ràng zhěnggè dìqiú hán Guāngliàng shēng gāo. (15 Miǎo)"
公請老師帶領我們一同靜飯。感謝天地宇宙和氣老師同修的大愛。請開動。謝謝老師。謝謝師兄。謝謝師姐。,"We respectfully request Laoshi to lead us in giving thanks.  We are grateful for the universal love of the heavens and earth, our families, every teacher and companion in our lives, and all contributors to this meal. (Let us give special thanks to ……for his/her/their contributions.【the person leading the blessing may choose to thank: the cook/chef, kitchen staff, etc.】) Please enjoy (the meal).  (optional: Thank you Laoshi, thank you brothers, thank you sisters.)",Prayers,,
一母生二子,The central axis splits into left and right,Allegories & Adages & Titles,,
本立而道生,Establish the basics and the way appears.,Allegories & Adages & Titles,,
四海之內皆兄弟,All People Can Come Together,"Allegories, Adages & Titles",,
慈母手中線，遊子身上衣,"like a compassionate mother, thread in hand, clothing her wandering child",Allegories & Adages & Titles,,
臨行密密縫,as the departure draws closer her needle flies faster,Allegories & Adages & Titles, meaning is when it's time the leave the mother does her best to provide what she can for the child.,
定格立品,"Establish the Life Format, Cultivate the Character",Allegories & Adages & Titles,,
在塵離塵，在塵不染塵,"Born into this tumultuous world, leaving it for cultivation; upon return, though still immersed, remain unaffected (add pronouns as needed)",Allegories & Adages & Titles,,
從上到下放鬆~高山流水清淨心,Complete Relaxation from Head to Toes~Gaoshan Liushui Qingjing Xin Alpine Water Flowing: The Heart of Tranquility,Allegories & Adages & Titles,,
溫暖光團,Warm Ball of Light,Allegories & Adages & Titles,,
傳光人的公約,The Convention of Messengers of Light,"Allegories, Adages & Titles",,
覺醒,Awakening,Allegories & Adages & Titles,,
定品立格——「一步樁」的法理法益,"Establish the Life Format, Cultivate the Character -- The Principles and Benefits of ""One-Step Standing""",Allegories & Adages & Titles,,
修忘怨,Practicing Forgetting Anger,Allegories & Adages & Titles,,
凝聚光軸化形和解-四海之內皆兄弟也,"Condense the Axis of Light, Dissolve Form and Come Together -- All People Can Come Together","Allegories, Adages & Titles",,
修心性意願七階:基礎、發展、主動、延伸、創意、領導、變化,"The Seven Steps of Aspiring to Cultivate One’s Nature: Foundation, Development, Motivation, Extension, Creativity, Leadership, and Transformation",Miscellaneous,,
心回本位    自然了悟 心念歸正    萬般皆化 中軸凝聚    自能感應 中軸通貫    不療自癒,"When the heart is returned to its rightful place, one will naturally attain understanding. When thoughts return to the right track, all illusions are dissolved. When the center axis coalesces, one will naturally be able to resonate.  When energy flows freely within the center axis, all is healed without effort.",Miscellaneous,,Xīn huí běnwèi zìrán liǎowù xīn niàn guī zhèng wànbān jiē huà zhōngzhóu níngjù zì néng gǎnyìng zhōngzhóu tōng guàn bù liáo zì yù
無所不通、無所不透、無所不在,"accept every being completely, omnipresent, one with everything",Miscellaneous,,
大愛手請法詞,May the universal love-light of the heavens and earth be conveyed through me.,Invocations,,
人形中線,Human-shaped central lines, Anthromorphic central lines,,
平移重心,Shifting the Center of Gravity,行儀 xingyi,,
三線合一,3 lines becoming 1,行儀 xingyi,,
左跟提，（3秒）左尖勾，（3秒）心入軸，（3秒）循中軸，（3秒）到定位；（3秒）左跟踩，（3秒）膝後挺，（3秒）右膝鬆，（3秒）腿微曲，（3秒）軸中正；（3秒）左尖勾，（3秒）心入軸，（3秒）循中軸，（3秒）回原位，（3秒）心入地。（6秒）,"Raise left heel (3s) Hook left toes (3s) Heart enters axis (3s) Follow central axis (3s) Come into place; (3s) Lower left heel (3s) Straighten left knee (3s) Relax right knee (3s) Slightly bend legs (3s) Straighten within axis; (3s) Hook left toes, (3s) Heart enters axis, (3s) Follow central axis, (3s) Return to origin, (3s) Heart enters earth. (6s)",行儀 xingyi,,
左尖勾，（3秒）左腳踩，（3秒）循中線，（3秒）一格格，（3秒）到腳心，（3秒）左尖勾，（3秒）循中線，（3秒）一格格，（3秒）到腳尖。（5秒）,"2: Hook left toes (3s) Step left foot, (3s) Follow central line, (3s) Section by section, (3s) To foot center; (3s) Hook left toes, (3s) Follow central line, (3s) Section by section, (3s) To foot tip. (5s)",行儀 xingyi,,
請大愛光慈悲某某某老靈魂,We request the blessings of universal love light for the venerable soul of so-and-so.,Prayers,,
報恩了願,gratitude and fulfillment,Common phrases,,
法脈,"Line of transmission, lineage of the practices/teachings",Terms,,
行愿佈施,Circulation of service.,Terms, the giving of gifts.,
傳光點,"Service location, Outpost",Terms,,
雪中送炭，尋聲救苦，傳光行愿，行愿傳光," Bring aid to where it is most needed, seek the suffering and provide relief, transmit light and manifest one's purpose, manifest and transmit light.",Allegories & Adages & Titles,,
見習小組長,(group) leader-in-training,Terms,,
堵住,"obstruction, blockage, impedence, hinderance",Common Phrases,1. 你就會感到所有堵住的地方到底在那裡。= You will feel where all the obstructed areas are.  所以造成另外一種型態的小損傷，能量的小小的堵住。=  Otherwise we might be causing some minor injury or energetic obstruction/blockage/impedence/hinderance.,Dǔ zhù | Du zhu
卡,"1. (n, v) obstruction, blockage, hinderance. 2. (adj.) stiff  3. (v.) have an issue with",Common Phrases,1. 能量卡在尾觜 = The (flow of) energy is obstructed/blocked at the saccrum. 2. 肩膀卡住 = [s.b.] shoulder feel stiff. 3. 我跟我朋友卡（某件事） = I have an issue with my friend (regarding a certain topic/situation).,Kǎ | Ka
和氣大愛玉成體系學程架構的基本概念,The Basic Concept Behind the Educational Framework of the HoChi Universal Love Training System,"Allegories, Adages & Titles",,"héqì dà ài yùchéng tǐxì xué chéng jiàgòu de jīběn gàiniàn, heqi da ai yucheng tixi xue cheng jiagou de jiben gainian"
導師體系玉成,Mentor Training Program,Terms,,"Dǎoshī tǐxì yùchéng, Daoshi tixi yucheng"
靈妙活潑,"use creatively, become creative/lively/vivacious",Common Phrases,"進入到靈性層就能夠靈妙活潑 = When we enter the spiritual layer, we are able to utilize it creatively.","Língmiào huópō, Lingmiao huopo"
三個臭皮匠勝過諸葛亮,Three heads are better than one,"Allegories, Adages & Titles",,"Sān gè chòu píjiang shèngguò zhūgéliàng, San ge chou pijiang shengguo zhegeliang"
同見同行,share a common vision and goal,Common Phrases,,"Tóng jiàn tóngxíng, Tong jian tongxing"
我要成為我心目中最理想的我,I will become the ideal self I hold within my mind's eye,Prayers,大愛光慈悲、我要成為我心目中最理想的我 = We request the blessings of universal love light to aid me in becoming the ideal self I hold within my mind's eye.,"Wǒ yào chéngwéi wǒ xīnmù zhōng zuì lǐxiǎng de wǒ, wo yao shengwei wo xinmu zhong zui lixiang de wo"
 大愛光慈悲引領護持造就我 成為我心目中最理想的我,"We request the blessings of universal love light to guide, support, and prepare this disciple in becoming the ideal self I hold within my mind's eye.",Prayers,,Dà àiguāng cíbēi yǐnlǐng hùchí zàojiù wǒ chéngwéi wǒ xīnmù zhōng zuì lǐxiǎng de wǒ
大愛光慈悲 讓每一位伙伴 都能一步步地重塑生命 成為自己心目中最理想的自己 在地球上產出 一個個的發光體,"We request the blessings of universal love light to allow every companion to be able to reconstruct their lives step by step and become their ideal selves, to create many radiant beings upon this earth.",Prayers,,Dà àiguāng cíbēi ràng měi yī wèi huǒbàn dōu néng yībù bù dì chóng sù shēngmìng chéngwéi zìjǐ xīnmù zhōng zuì lǐxiǎng de zìjǐ zài dìqiú shàng chǎn chū yīgè gè de fāguāng tǐ
求 大愛光 法界  老人家  老師 傳導師  導師  光團伙伴   祖先父母親  家人朋友 靈性  老靈魂  肉身伙伴 慈悲  引領護持造就 弟子 讓弟子不斷地 向靈性層   提高生命振動頻率 變化氣質 提升靈格,"We request the blessings of universal love light, of the realm of enlightened beings, of Laorenjia, Laoshi, Directors, Instructors, fellow group members, our  ancestors and parents, our families and friends, our spirit, our venerable soul, and our corporeal companions, to guide, support, and prepare this disciple, to allow me to continually raise my vibrational frequency towards that of the spiritual layer, to transform my nature and advance my spiritual level.",Prayers,,Qiú Dà àiguāng Fǎjiè lǎorénjiā lǎoshī Chuán dǎoshī dǎoshī guāng tuán huǒbàn Zǔxiān fùmǔ qìng jiārén péngyǒu Língxìng lǎo línghún ròushēn huǒbàn Cíbēi Yǐnlǐng hùchí zàojiù Dìzǐ Ràng dìzǐ bùduàn de Xiàng língxìng céng Tígāo shēngmìng zhèndòng pínlǜ Biànhuà qìzhí Tíshēng líng gé
黑晶化去修內德,Dissolve Crystallized Negativity and Cultivate Inner Virtue,"Allegories, Adages & Titles",,"Hēi jīng huà qù xiū nèi dé, Hei jing hua qu xiu nei de"
臨終關懷,End-of-life Caring,Terms,,Línzhōng guānhuái
光的通路,The Pathway of Light,"Allegories, Adages & Titles",,Guāng de tōnglù
轉換迴路的慣性,Transforming the Cycle of Inertia,"Allegories, Adages & Titles",,Zhuǎnhuàn huílù de guànxìng
留出空間常自在,Leaving Oneself Enough Space to Often Be at Ease,"Allegories, Adages & Titles",,Liú chū kōngjiān cháng zìzài
清明覺醒轉慣性,A Crisp Awakening and Transformation of Habits ,"Allegories, Adages & Titles",,"Qīngmíng juéxǐng zhuǎn guànxìng, Qingming juexing zhuan guanxing"
精進晨煉平台,Advanced Morning Meditation ,"Allegories, Adages & Titles",," Jīngjìn chen liàn píngtái, Jingjin chen lian pingtai"
靈性成長班連線,Spiritual Growth Web Seminar,"Allegories, Adages & Titles",,Língxìng chéngzhǎng bān lián xiàn
立定腳步踏實地,Standing Affixed and Down-to-Earth,"Allegories, Adages & Titles",,"Lìdìng jiǎobù tàshí dì, Li ding jiao bu tashi di"
高山流水清淨心,Flowing Alpine Waters Cleanse the Heart,"Allegories, Adages & Titles",,"Gāoshānliúshuǐ qīngjìng xīn, Gao shan liu shui qingjing xin"
天地定位安主軸,Align with the Heavens and Earth and Establish the Axis,"Allegories, Adages & Titles",,"Tiāndì dìngwèi ān zhǔzhóu, Tain di ding wei an zhu zhou"
接上天地心,Connect to the Heart of the Heavens and Earth,"Allegories, Adages & Titles",,"Jiē shàng tiāndì xīn, jie shang tian di xin"
熟練心法意歸中,Practice Mental Cultivation and the Mind will Center Itself,"Allegories, Adages & Titles",,"Shúliàn xīn fǎ yì guī zhōng, shu lian xin fa yi gui zhong"
 觀照身心,Observe Body and Mind,"Allegories, Adages & Titles",,"Guānzhào shēnxīn, guan zhao shen xin"
孕育靈性生命結晶體,Nurture the Creation of Spiritual Life,"Allegories, Adages & Titles",,"Yùnyù língxìng shēngmìng jiéjīngtǐ, yun yu lingxing shengming jiejingti "
千變萬化打開生命限制-老靈魂脫胎換骨,Countless Changes Broaden Our Horizons -- The Eternal Soul is Reborn,"Allegories, Adages & Titles",,"Qiānbiànwànhuà dǎkāi shēngmìng xiànzhì-lǎo línghún tuōtāihuàngǔ, qianbian wanhua da kai shengming xianzhi -- lao ling hun tuo tai huan gu"
和氣真傳-護持老靈魂上路,True Transmission of HoChi -- Aid the Venerable Soul in Setting Out on this Path,"Allegories, Adages & Titles",,"Héqì zhēnchuán-hùchí lǎo línghún shànglù, heqi zhen chuan huchi lao linghun shang lu"
轉換生命的頻率,Transforming the Vibrational Frequency of Life ,"Allegories, Adages & Titles",,Zhuǎnhuàn shēngmìng de pínlǜ
有道無德變成魔、有德無道難修真,Without virtue the way is destructive, without the way virtue is for naught.,lit. If there is the way without virtue it/we will transform into into a demon, with virtue but without the way it is diffcult to truly cultivate
玉成,"train, prepare",Common Phrases,導師玉成體系 = Instructor Training System. ,"Yùchéng, yucheng"
接引,recruit,Common Phrases,,"Jiē yǐn, jie yin"
造就,"train, contribute, prepare",Common Phrases,,
護持,"support, aid",Common Phrases,,
七人光團,7-Person Ring (of Light),Terms,,"Qī rén guāng tuán, qi ren guang tuan"
知識,"knowledge, epistomology",Common Phrases,,"Zhīshì, zhi shi"
調性,"tonality, (overall) tone",Common Phrases,,"Diào xìng, diao xing"
修煉,Cultivation and practice,Terms,,"Xiūliàn, xiu lian"
修,cultivate ,Common Phrases,,"Xiū, xiu"
煉,practice,Common Phrases,"「煉」是煉功法 = ""Practice"" means to practice the physical cultivation techniques","Liàn, lian"
小組護持,Peer Mentor,Common Phrases, From Mentor Training System,
組長,Group Leader,Common Phrases,,
靈跟中線,Spiritually Rooted Center Line,Terms,,"Líng gēn zhōng xiàn, ling gen zhong xian"
喚醒老靈魂,Awakening the Venerable Soul,"Allegories, Adages & Titles",,"Huànxǐng lǎo línghún, huan xing lao ling hun"
融合就是功德,Harmony is a Virtue,"Allegories, Adages & Titles",,"Rónghé jiùshì gōngdé, ronghe jiushi gongde"
生命的價值,The Value of Life,"Allegories, Adages & Titles",,"Shēngmìng de jiàzhí, sheng ming de jia zhi"
傳光人公約,The Convention of Messengers of Light,"Allegories, Adages & Titles",,"Chuán guāng rén gōngyuē, chuan guang ren gon yue"
覺醒,Awakening,"Allegories, Adages & Titles",,"Juéxǐng, jue xing"
立如松的次第,The Stages of Lirusong Standing Like Pine,"Allegories, Adages & Titles",,"Lì rú sōng de cìdì, lirusong de ci di"
由內在的中心鬆開來,Relax from the Core,"Allegories, Adages & Titles",,"Yóu nèizài de zhōngxīn sōng kāi lái, you nei zai de zhong xing song kai lai"
清理身心光透體,Light Penetrates When Body and Mind are Cleared,"Allegories, Adages & Titles",,"Qīnglǐ shēnxīn guāng tòu tǐ, qing li shen xing guang tou ti"
回歸生命的主軸,Resume the Axis of Life,"Allegories, Adages & Titles",,Huíguī shēngmìng de zhǔzhóu
立如松是光的通路,Standing Like Pine is the Pathway of Light,"Allegories, Adages & Titles",,Lì rú sōng shì guāng de tōnglù
造成靈性生命體,Creating the Body of Spiritual Life,"Allegories, Adages & Titles",,"Zàochéng língxìng shēngmìng tǐ, zao cheng ling xing sheng ming ti"
其實只有一條路,Truly There is Only One Path,"Allegories, Adages & Titles",,"Qíshí zhǐyǒu yītiáo lù, qi shi zhi you yi tiao lu"
領袖人力的修煉,Cultivating Leadership,"Allegories, Adages & Titles",,"Lǐngxiù rénlì de xiūliàn, ling xiu ren li de xiu lian"
定-成功的基石,Determination -- The Foundation of Success,"Allegories, Adages & Titles",,"Dìng-chénggōng de jīshí, Ding - cheng gong de ji shi"
解脫要愛的煩惱,Freedom from Entreating Love,"Allegories, Adages & Titles",,"Jiětuō yào ài de fánnǎo, jie tuo yao ai de fan nao"
母子一體無分別,Mother and Child are One,"Allegories, Adages & Titles",,"Mǔzǐ yītǐ wú fēnbié, mu zu yi ti wu fen bie"
回到本質,Restore the Essence,"Allegories, Adages & Titles",,"Huí dào běnzhí, hui dao ben zhi "
寧靜海,Sea of Tranquility,"Allegories, Adages & Titles",,"Níngjìng hǎi, ning jing hai"
通入內在的通路,Clear the Way Within,"Allegories, Adages & Titles",,"Tōng rù nèizài de tōnglù, tong ru nei zai de tong lu"
接上天地心,Connect to the Heart of the Heavens and Earth,"Allegories, Adages & Titles",,"Jiē shàng tiāndì xīn, jie shang tian de xin"
接上天地心,Connect to the Heart of the Heavens and Earth,"Allegories, Adages & Titles",,"Jiē shàng tiāndì xīn, jie shang tian de xin"
執中貫一,Center and Connect to All,"Allegories, Adages & Titles",,"Zhí zhōng guànyī, zhi zhong guan yi"
堅持奮鬥精進心,Maintain the Indominitable Fighting Spirit,"Allegories, Adages & Titles",,"Jiānchí fèndòu jīngjìn xīn, jian chi fen dou jing jin xin"
戲中人，人中戲,"People of the Plays, Plays of the People","Allegories, Adages & Titles",,"Xì zhōng rén, rén zhōng xì, xi zhong ren, ren zhong xi"
體囊呼吸,Vesicular or Body Breathing,Terms,,"Tǐ náng, ti nang"
呼吸,Breathing, universal love light breathing,Terms,"'B"" is capitalized if it is w/out ULL reference"
鑽石光圈,Diamond Ring of Light,Terms,,Zuànshí guāngquān
大愛光身體活化呼吸法,Universal Love Breathing Practice to Enliven the Body,"Allegories, Adages & Titles",,"Dà àiguāng shēntǐ huóhuà hūxī fǎ, da ai guang shen ti huo hua hu xi fa"
大愛光祝福你,"1. (for HH)  May the blessings of universal love be upon you.  2. (as signature) Love & Light  3. (as farewell, ending guidance) May the blessings of universal love (light) be ever at your side.",Common Phrases,,
請大愛手,Invoke (Da ai shou) Healing Hands,"Allegories, Adages & Titles",,
貼近內在,,"Allegories, Adages & Titles",,
生命之門,,"Allegories, Adages & Titles",,
過關化卡,Pushing Through & Dissolving Blockages,"Allegories, Adages & Titles",,
慈悲溫暖和希望：大礙手的故事,"Compassion, Warmth & Hope: The Story of Healing Hands","Allegories, Adages & Titles",,Cíbēi wēnnuǎn huo xīwàng: Dà ài shǒu de gùshì
血眽報恩 (1) 家族血眽解碼,Ancestral Appreciation (1) Deciphering Ancestry ,"Allegories, Adages & Titles",,Xuè mò bào'ēn jiāzú xiě mò jiěmǎ
識透生命真相 (1) 從生命本質徹底解套,Seeing Life As It Is (1) Using the Essence of Life to Attain True Release ,"Allegories, Adages & Titles",,Shi tòu shēngmìng zhēnxiàng (1) cóng shēngmìng běnzhí chèdǐ jiě tào
